i-SmAacTGFQQZUpkVFTGUZqj	Följande skrivelser hade kommit in:
i-Y1SW6gWXG3krS7NXRWzBJM	Sverige är en av de största givarna under Syrienkrisen och har sedan 2011 bidragit med mer än 3,8 miljarder kronor i humanitära medel. Enbart förra året uppgick det humanitära stödet till 5 30 miljoner kronor. En bety ­ dande del av detta stöd har gått till nordöstra Syrien och till det arbete som görs av till exempel FN och organisationer som Rädda B arnen.
i-2iXETRK8dWnbCofTq61d52	Sedan 2016 har Sverige därutöver en regional biståndsstrategi för Syrienkrisen, som omfattar 3,2 miljarder kronor till och med 2023. Här ingår de 100 miljoner kronor som regeringen 2019 beslutade att öronmärka för insatser specifikt riktade till nordöstra Syrien. Dessa medel går bland annat till att förbättra människors tillgång till rent vatten och skapa arbetstillfällen för en hårt drabbad befolkning.
i-AUnynuniwEiZLknUgiwgkD	Fru talman! Det är sedan länge en prioriterad fråga för regeringen att få till stånd ansvarsutkrävande och lagföring för de allvarliga brott som har begåtts inom ramen för de väpnade konflikterna i Syrien och Irak. Denna lagföring bör i första hand ske i regionen, där brottsoffer, vittnen och bevisning finns.
i-6gGtzuCWHP5XmWhTzQaULd	Regeringen arbetar löpande med likasinnade länder och andra partner för att se över olika alternativ för ansvarsutkrävande. Sverige stöder FN:s bevisinsamlingsmekanism för brott begångna i Syrien , I IIM , och undertecknade i december ett samarbetsavtal med mekanismen. Vi har gjort detsamma med FN:s bevisinsamlingsmekanism för Irak , U nitad . Avtale n har till syfte att förenkla för svenska brottsbekämpande myndigheter att kom ­ ma åt den bevisning som IS/Da i sh har lämnat efter sig.
i-KNY3d4LZAohZ6eEeME54fp	Fru talman! Även Turkiet har drabbats hårt av islamistisk terrorism från Daish och andra grupper. Samtidigt råder det ingen tvekan om att Tur ­ kiets agerande i nordöstra Syrien inte bidra git till stabilitet i området. Re ­ geringen har upprepade gånger fördömt den militära offensiv en och uttalat att den strider mot folkrätten. Det turkiska agerandet riskerar att spela Da i sh i händerna och har en negativ påverkan på den humanitära situatio ­ nen.
i-EPFtR9pu8GRrFGMsZQH9uK	Sverige har varit pådrivande för att EU ska ta tydlig ställning i fråga om detta agerande, och vi fortsätter att ställa krav på ett proaktivt EU-agerande. Vi framhåller också att Turkiet enligt internationell humanitär rätt och enligt det internationella regelverket har ett ansvar för mänskliga rättigheter och för utvecklingen i de områden som landet kontrollerar. Vi framför vår tydliga ståndpunkt i internationella sammanhang , och jag har även gjort det personligen till turkiska företrädare, inklusive Turkiets utrikesminister.
i-q5hjAb8hxT5Dp5VpDW75P	Fru talman! Jag känner naturligtvis till de krav som vissa framför på att etablera en internationell säkerhetszon längs den syriska gränsen till Turkiet. Men Sveriges utrikespolitik och agerande måste också bygga på vad som är praktiskt möjligt . För att besluta om en sådan zon krävs enligt folkrätten Asadregimens medgivande eller ett beslut av FN:s säkerhetsråd. U tsikterna för att etablera en internationell säkerhetszon är därför obefintliga i nuläget .
i-3ApTsMAfTNBB2Zmufazv2b	Fru talman! Sverige har en nära och produktiv relation med självstyret i nordöstra Syrien. Sedan jag tillträdde som utrikesminister har jag genomfört ett antal möten med både ledarskapet i nordöst och representanter för civilsamhället . Jag har kunnat förmedla budskapen från dessa möten i andra viktiga internationella format . Sverige är till exempel ett av de få länder som tydligt driver att röster från AANES på ett tydligare och mer systematiskt sätt måste inkluderas i den FN-ledda politiska processen om Syrien och i den g lobala koalitionen.
i-S9EotdECTrZhnV6q69wckQ	Fru talman! Jag skulle vilja tacka utrikesministern för svaren och för tydligheten. Jag vet att det inte råder någon tvekan om att Sverige gör sitt bästa för att stödja minoriteterna och koalitionen i nordöstra Syrien och Rojava, som det heter. Samtidigt vet vi att det i skuggan av Rysslands terror och krig mot Ukraina finns ett vakuum och en risk för att andra länder och grupper kommer att fylla detta vakuum.
i-5JUogxVSa5PmoV81hoLnQc	Precis sex veckor före kriget mot Ukraina hade Daish organiserat sig och attackerade ett fängelse, där man halshögg tiotals kvinnor. Nasrin Abdullah, som är på väg till läktaren här i kammaren, berättade i går om vad Daish gjorde i fängelserna mot kvinnor från Kobane, som skyddade sig själva. Daish höll på att organisera sig och kom med prickskyttar och bilbomber.
i-CHoUJxdbpHoJh8BdPsHf8k	Daish bildades från början i fängelserna i till exempel Mosul, som var fyllda av sådana människor. När de släppts grundades Daish. Nu är hundratals på fri fot, och det är stor risk för att de kommer att organisera sig. Budskapet från Nasrin Abdullah, som nu är på besök i Sverige – vi träffade henne i går och nyss, före denna debatt – är därför att kvinnorna, människorna, kurderna och andra minoriteter behöver stöd för att stärka säkerheten kring och i fängelserna.
i-HSDXwRStofo5717mxcSXjw	Det handlar inte bara om att ett folk ska skyddas i regionen utan om att skydda hela världen. Kurderna och andra minoriteter har inte skyddat bara den egna befolkningen utan faktiskt hela världen. De har, för tillfället, räddat hela världen från den genom tiderna värsta terrorismen, där man halshugger människor som kämpar för sin frihet och inte minst för kvinnors rättigheter.
i-N8bvLZKVTvUmTk9kgRaND4	Kvinnorna i YPJ och YPG har haft en avgörande roll i kampen mot Daish för befrielse, men man har inte kommit tillräckligt långt än. Folk ­ mord kommer att ske, och det kommer tyvärr att drabba minoriteter i re ­ gionen.
i-Ng6DTQmrux1NSaLfqiDZa5	Jag är införstådd med utrikesministerns svar. Det är inte alltid möjligt. Det är svårt. Men när har vi bara kunnat ställa möjliga och enkla politiska krav? De har alltid varit omöjliga. Inte minst gällde det Sveriges feministiska utrikespolitik, där många slog dövörat till och undrade vad det var för något. Men på den internationella arenan kunde vi visa: Javisst, det går!
i-72gcntGQyjCgcTxESGX5q2	Jag tror faktiskt inte att någon av oss är i politiken bara för att jobba med enkla frågor med enkla svar. Så är det med politiken. Vi måste möta detta för att få en förändring till stånd.
i-3V4y1VoFxrLafbCtt4bNPS	Fru talman! Jag vill tacka Amineh Kakabaveh för att hon återigen tar upp den här frågan i riksdagen . Sedan jag tillträdde som utrikesminister har jag personligen träffat ledningen för självstyret i nordöst vid flera till ­ fällen. Som Amineh Kakabaveh säger har vi senast i dag träffat Nasrin Abdullah från självstyret i nordöst. Försvarsminister Peter Hultqvist har också talat med ledningen för SDF, och Utrikesdepartementets Syrien ­ sändebud Per Örnéus står i nära kontakt med representanter för styret i nordöstra Syrien.
i-CAxFVRkbGVfJNRdXbrhE3E	Men det finns inte ett enda globalt möte som rör Syrien , vare sig i den globala koalitionen , i EU eller i FN , där Sverige inte tydligt och med emfas driver på för att uppmärksamma situationen i nordöstra Syrien, fastän det är svårt. Jag har kunnat förmedla budskapen från de möten som jag har haft med AANES och SDF i det internationella samtalet. Vi är ett av de få länder som tydligt driver på för att rösten från AANES på ett tydligare och mer systematiskt sätt ska inkluderas i den FN-ledda politiska processen i den globala koalitionen.
i-6Srr3Yg2YthmCguaUPJRz9	Sedan tar Amineh Kakabaveh upp fångar. Det är tveklöst en otroligt svår uppgift för självstyret att ta hand om detta. Det är känt sedan länge inom koalitionen, och resurser har också kanaliserats för att bistå med det.
i-XiLHxSMNBxLDne1XN8cNtQ	Men detta är bara en av många utmaningar som AANES har att hantera, och genom mina samtal med ledningen för självstyret vet jag att det är väldigt viktigt för dem att också säkerställa det egna folkets behov. Här har vi valt att fokusera våra resurser på humanitärt stöd och bistånd för att bygga upp människors motståndskraft mot det som händer. Oavsett vem som kontrollerar territoriet är det för det svenska humanitära biståndet cen ­ tralt att man baserar insatserna på de humanitära behoven.
i-GDkGCnGabRUuAG34T5Ejgu	Kakabaveh tar upp det som skedde i al-Hasakah med fängelset och de fruktansvärda händelserna där. Vi stöder den industriella kvarnen i al - Hasakah, och vi har restaurerat den på olika sätt. Vi ger också humani ­ tärt stöd till våra partner i Syrien, framför allt för att barn ska kunna gå i skolan och ha en säkrare situation.
i-YMCd5KthGm6HvcD2dn3q3o	Jag tror att det Sverige gör för att stödja folket i nordöstra Syrien får genomslag och dessutom visar vår tacksamhet för det otroliga arbete som kurderna har gjort i vår gemensamma kamp mot Daish och den globala terrorismen.
i-HKWezAibyH2mfqLRZERW2S	Fru talman! Det är en självklarhet att också kurderna och andra minoriteter är tacksamma för att Sverige hörsammar detta. Sverige är ett humanitärt land när det gäller många hörn i världen. Inte minst är det viktigt att stödja kvinnorna.
i-TqW6iwyQzdN55PMauzXPmt	Om en vecka är det sju år sedan YPJ, den kurdiska kvinnorörelsen, startade för att kämpa sida vid sida mot barbariet . O ch inte bara det, utan man trotsar också traditioner, kultur, religion och hederskultur i regionen. De har kunnat organisera sig och har i dag en befälhavare som vi har träffat. Det är ganska stort.
i-EUg2EdDvKwY5XMWSaszi9G	Men detta gäller inte bara Sverige enskilt, utan Sverige har också en röst i FN, i EU och i andra internationella sammanhang. Vi ska aldrig låta Ryssland ta över ett vakuum. Vi ska aldrig låta Ryssland, Iran, Turkiet och Syrien göra detta tillsammans. Detta är ingen konspirationsteori – dessa länder har med varandra att göra även om de i många sammanhang inte kommer överens. Dessa regimer har en gemensam anledning att stötta varandra mot dem som störtar eller utmanar dem. Så är det i dag.
i-FFrauYEtwHJq53gPTt61Dh	Säkerheten kring fängelserna och Turkiets ockupation av delar av Rojava, Afrin till exempel, hänger ihop också med den politiska situationen i regionen. Så länge de inte är erkända kan Turkiet, Ryssland och andra länder komma in och vara varandras bundsförvanter. Minoriteter, kvinnor, kurder och så vidare blir offer för dessa stormakter. Därför är det väldigt viktigt att vi nu gör något, innan det sker folkmord och innan Daish förstör städer och länder i regionen på olika sätt.
i-ASDVRUUhSVkx5Koina9WvH	Jag vet att det inte är lätt att få till stånd en säkerhetszon där människor, flyktingar, kan leva i fred och frihet, men det är faktiskt möjligt. Under Saddam Hussein var den kurdiska regionen en säkerhetszon som man inte kunde flyga över och inte ockupera. Historiskt har vi sett att detta är möjligt.
i-JgEPvQjM15K29TYNynCsN6	Om de politiskt omöjliga frågorna ska bli möjliga måste vi kämpa ännu mer. För mig handlar det om droppen som urholkar stenen. Jag tror på detta. Till slut kommer det att ske, bara vi vill och inte tröttnar. I dag ser vi statsterrorism som har sträckt sig ända till Ukraina, och den finns också i andra länder. Det är välbekant. Territorier ockuperas. Vi ser det i Turkiet, i den kurdiska delen av Irak och också i Syrien och andra länder. Detta måste nämnas vid sitt rätta namn, tycker jag.
i-J7WY3Dn55VaUzY5RTHtjqC	Min fråga är: Kommer utrikesministern att driva frågan om säkerhetszon och den politiska säkerheten i FN och i EU?
i-PjjKRQgMGG5Xwsbc1LXWrG	Fru talman! Låt mig börja med den sista frågan, om vi kommer att driva frågan om säkerhetszon. Det är ändå vår uppfattning att det mest effektiva att driva är sådant som man tror har någon som helst möjlighet att gå igenom. En säkerhetszon tror vi inte har någon som helst möjlighet att gå igenom. I stället kan det ta vårt fokus från andra saker som är viktiga att driva.
i-7jsJDVJEn7nsUrcCYMArfu	Däremot delar jag naturligtvis Amineh Kakabavehs syn på att Turkiets agerande i nordöstra Syrien inte är acceptabelt. Den offensiv som man inledde 2019 har fått svåra konsekvenser för civilbefolkningen och har inte bidragit till någon stabilitet i området.
i-36Wpp22EsuqCiMnu9xbCoR	Det är snarare tvärtom. Inte minst har det tagit fokus från SDF:s förmåga att bekämpa Daish. Man har behövt omprioritera resurser på andra områden, och där kan man nu se att Daish växer sig starkare. Det visar inte minst intagandet av fängelset.
i-A7PnYFGdNUgNrPQ3PhXLhQ	Jag är också orolig över de miliser och väpnade grupper som Turkiet har samarbetat med. Nu har FN:s undersökningskommission för Syrien dokumenterat flera fall där dessa aktörer kan ha gjort sig skyldiga till allvarliga övergrepp när det gäller mänskliga rättigheter, till exempel godtyckliga frihetsberövanden, plundring och sexuellt våld.
i-7Uq2u7SWxDTXLmtmDsLCLG	Det är väldigt viktigt att nämna att Turkiet också har drabbats av flera avskyvärda terroristattacker under årens lopp, också av Daish. Turkiet har genuina säkerhetsutmaningar att hantera. Man är också medlem i den globala koalitionen. Här är det viktigt att Turkiets arbete mot islamistisk ter ­ rorism erkänns som viktigt också för svensk säkerhet. Men sättet som man har agerat på i nordöstra Syrien har ofta varit kontraproduktivt, och det har drivit helt oskyldiga människor på flykt. Om detta har vi en väldigt uppriktig dialog med Turkiet.
i-LTEv6VVkDZGD4pzkinzT3f	Jag måste säga att jag delar Amineh Kakabavehs frustration över att det internationella samfundet inte har kunnat göra mer för att vända den negativa trend som är nu. Nu är det realpolitik. De delar som Amineh Kakabaveh tar upp, inte minst Rysslands roll, där man konsekvent går Asadregimens ärenden, handlingsförlamar FN:s säkerhetsråd. Nordöst har drabbats hårt av detta. Till exempel kan FN på grund av ryskt påverkans ­ arbete inte längre arbeta gränsöverskridande i nordöstra Syrien. Man tillåter inte att FN-organ för in förnödenheter från Irak, till exempel.
i-S17jTVNr3BdfZsjaVaiBF	Det är många delar som bidrar till att situationen är allvarlig, och jag vill återigen uttrycka vårt fulla stöd för det viktiga arbete som AANES gör i regionen och för oss alla.
i-4daT56ZURZ9b1QMCtrKGvK	Fru talman! Tack, utrikesministern, för tydlighet igen! Regeringens röst är viktig i de internationella sammanhangen. Man är en röst för dem som inte hörs, för de minoriteter och de kurder som är en bricka i spelet för olika makter i regionen.
i-KMxhBiY9NvjFBogSYCVsxL	Precis som utrikesministern var inne på har vi också Asadregimen, som med sina händer har dödat sitt eget folk. Ryssland har hjälpt till militärt i det här blodbadet. Det var ett övningsfält för rysk militär när folket reste sig mot den blodiga Asadregimen.
i-XzS8Ck5mSvkmUXj2QyyBQb	Jag menar att det fortfarande finns samma scenario. Regimen finns kvar. Ryssland har inflytande. Turkiet, som vi nyss pratade om, är en ocku ­ pationsmakt, såklart. Turkiet understöder Daish, även om Turkiet är drab ­ bat av terrorattentat i sitt eget land och många tyvärr har dött. Därför är detta så viktigt för stabiliteten i området, inte bara för en liten grupp eller för en större minoritetsgrupp. Det handlar om världens säkerhet och hela regionens säkerhet.
i-FG81JRJmxZx52SK41Y6s4F	Det förväntas att det inte bara ska bli debatter och käbbel utan också verklighet. Det handlar om hur vi gör för att stoppa Daish och för att hindra att folkmord sker igen. Vi ska också lyssna på de människor som vädjar till oss om både politiskt gehör och ekonomiskt stöd.
i-8U5e1rrgNbfEDDLnmE99Ys	Fru talman! Ja, Daish har begått fruktansvärda brott och övergrepp mot hela befolkningen i nordöstra Syrien. Det gäller inte bara kurder utan också assyrier, armenier, yazidier, syriska turkmener, araber och andra minoriteter. De brott som har begåtts måste lagföras, men det kommer att ta tid.
i-WQrCfFcfyof6Q74LZkvJc7	Sverige fortsätter att verka för att situationen i Syrien hänskjuts till Internationella brottmålsdomstolen, ICC.
i-PM4ti9faT6ei9iZ6L7nunq	I juni 2019 kallade statsrådet Damberg till ett internationellt expertmöte för att diskutera frågor som var kopplade till ansvarsutkrävande för IS brott och inrättade av en internationell mekanism eller tribunal. Detta är fortsatt en prioriterad fråga för regeringen även om inrättandet av en sådan internationell mekanism är mycket komplicerat och skulle kräva stöd från FN:s säkerhetsråd. Det är svårt att tro att det kommer att ske. Det är därför som vi har fortsatt att stödja andra initiativ för att underlätta ansvarsutkrävande.
i-8op291VHtzXsX49Edp1Bh2	Jag har redan redogjort för vårt arbete med IIIM och Unitad. Även i regeringens strategi för Syrienkrisen har vi gett Sida en tydlig uppgift att stödja insatser för ansvarsutkrävande. Stöd går sedan länge till flera gräsrotsorganisationer som samlar in bevisning och vittnesmål som används i rättegångar världen över.
i-S267u2DkaMqasU58VPyQpH	Samtidigt har regeringen på hemmaplan genomfört omfattande sats ­ ningar på det svenska rättsväsendet, särskilt på Säkerhetspolisen och Polis ­ myndigheten. Regeringen kommer att fortsätta att prioritera ansvarsutkrä ­ vande och verka för upprättelse för befolkningen i nordöstra Syrien och för terrorismens offer.
i-CoW98kt8HB4uuvzbtyQAQR	Fru talman! Staffan Eklöf har frågat mig om regeringen har vidtagit åtgärder för att förmå talibanregeringen att stoppa förföljelsen av kristna och om ytterligare åtgärder kommer att vidtas den närmaste tiden. Han hänvisar till Open Doors årliga rapport, som visar att Afghanistan toppar listan när det gäller förföljelse av kristna.
i-XPxVYQtzpcTegJrhsjsKjx	Det är helt oacceptabelt att människor förföljs på grund av sin tro. Jag har tidigare sagt, bland annat i ett frågesvar till Staffan Eklöf, att religions- och övertygelsefrihet är en mänsklig rättighet. Alla människor ska kunna leva, utöva och manifestera sin tro utan rädsla för att bli hotade eller förföljda på grund av sin religion eller övertygelse.
i-DyZatuuCHc28nT3B34woRn	Därför skrev Sverige redan i september under ett upprop tillsammans med 17 andra länder, bland annat USA, Nederländerna och Polen, som kritiserade förföljelsen av personer som tillhör religiösa minoriteter i Afghanistan. Vi tog upp den djupa oro som vi hyste för att kristna, shiamuslimer, hinduer, sikher, icke-troende och andra inte fick utöva sin tro, och vi uppmanade till en inkluderande regering där också personer som tillhör religiösa minoriteter fick plats.
i-SLdtdjPYhHxfRLzzN9n8ZF	Staffan Eklöf tar i sin interpellation upp biståndet och att Sverige torde vara ett av de västländer som den självutnämnda talibanregeringen lyssnar på.
i-8DigtHRUXSiu29dvZDvsJB	Sverige stoppade direkt efter maktövertagandet allt bistånd som gick via den afghanska regeringen och dess myndigheter. Inget bistånd ska finansiera eller legitimera talibanerna. Svenskt bistånd kanaliseras endast till enskilda organisationer och FN-organ. Vi ska stödja den afghanska befolkningen, och det gör vi bland annat genom humanitärt stöd baserat på humanitära principer. Det är behoven som styr tilldelningen, och i detta är Sverige och det internationella samfundet tydliga – stödet ska ges till dem som behöver det mest, oavsett grupp eller etnicitet. Givarsamfundet har en nära dialog om detta, och FN följer upp på plats i Afghanistan så att ingen diskriminering sker, inte heller mot kristna.
i-XZpsVEJUWJi43GvGGfeuw3	Att använda humanitärt stöd som påtryckningsmedel låter sig inte göras, eftersom stödet baseras på grundläggande humanitära principer om opartiskhet och neutralitet.
i-DeXLUGDt6Qtoh18f5RsJzq	Mänskliga rättigheter förblir en central del av det svenska biståndet. Sverige kommer även fortsättningsvis att arbeta för att stödja organisatio ­ ner, såväl FN-organ som enskilda organisationer , som verkar för att främja mänskliga rättigheter.
i-7Z7Ebm7jgGF9T5geMn2DBc	Situationen i Afghanistan är ytterst allvarlig och följs noga av oss och av det internationella samfundet. Sverige för ingen dialog med talibanerna på politisk nivå. Sverige arbetar i stället tillsammans med andra aktörer för att förmå talibanerna att respektera individers åtnjutande av mänskliga rättigheter, även för personer som tillhör minoriteter.
i-UV8dAfyoQzJMYM6Pi9Efb4	Fru talman! Tack, ministern, för svaret!
i-BpzqZKe9BK4YNqmShttRES	Organisationen Open Doors skriver varje år en dyster men mycket viktig rapport som handlar om förföljelse av kristna i olika delar av världen. Precis som ministern nyss redovisade här har talibanernas olagliga regim i Afghanistan gått om den nordkoreanska regimen i förföljelse av kristna. Afghanistan är alltså den värsta regimen i världen just nu när det gäller förföljelse av kristna.
i-Ft1j9U1y3mTbH3HwYA6apf	Open Doors berättade här i riksdagen om beväpnade män som går runt i bostadsområden och dödar människor bara för deras kristna tro. I det talibankontrollerade Afghanistan torde det vara omöjligt för sådana beväpnade grupper att begå dessa systematiska illdåd utan regimens goda minne. I annat fall borde talibanregimen redovisa vad de gör för att hejda detta och lagföra mördarna.
i-Wjobvo3PK6k4AfGkeq4Azj	Afghanistan är också ett land som tar emot mycket bistånd från Sverige och har så gjort i många årtionden. Sverige torde vara ett av få västländer som talibanregimen lyssnar på. Möjligheterna att trycka på och att rädda kristna finns alltså.
i-Xc1YJ2mL3Qm71BgUrkSqFy	Jag frågade ministern vad regeringen gör, men ministern redovisade inga åtgärder som riktar sig mot talibanregimen i svaret på min fråga. Ing ­ en åtgärd redovisas som ska hjälpa kristna grupper. Detta icke-svar oroar.
i-8cxRJtjRNwsrzP3uBkTTLw	Det är de frågor som finns i interpellationen. Det är väldigt uttömmande frågor. Svaret har vi hört, nämligen att Sverige har skrivit på ett upprop i vilket man oroar sig för att olika grupper inte får utöva sin tro och att kristna förföljs. Det är väl bra i sig, men när det gäller en sådan aktör som talibanregimen kunde ministern lika gärna ha ropat i öknen. Inte bryr sig talibanregimen om ett upprop.
i-A2oR7wAyPsbJw6oXhTb3g8	Dessutom nämner ministern inte i sitt svar de systematiska morden på kristna i samband med beskrivningen av uppropet. Då får man intrycket att de här morden inte nämns i uppropet. Saknas de i uppropet? Det anser jag är lite anmärkningsvärt, för det är ändå stor skillnad på att inte få gå i kyrkan och att bli mördad.
i-DYic3VXLS37oVyvETB537o	Utrikesministern säger att det inte låter sig göras att använda humanitärt stöd som påtryckningsmedel, eftersom stödet baseras på grundläggan ­ de humanitära principer om opartiskhet och neutralitet. Menar minis ­ tern då att en påtryckning om att talibanerna måste visa ansträngningar att få mördandet av kristna för deras tros skull att upphöra skulle hota denna neutralitet?
i-LcQfxkTEuW23QMxYoYgG23	Det är viktigt att tydliggöra vad regeringen gör och inte gör, och det är därför jag borrar i den här frågan. Jag tolkar de svar som jag hittills har hört och läst som att regeringen inte har gjort särskilt mycket och inte tänker göra något mer och att den anser sig inte kunna göra något på grund av hur regler för humanitärt bistånd är utformade.
i-Srma5v4uS8zaSdTKBVYtqL	Detta är mina antaganden utifrån vad jag har läst och hört. Nu har ministern chansen att motbevisa mitt antagande och kanske göra åtaganden för framtiden. Det skulle jag uppskatta.
i-F1Pmc43jcrFySrX2AsA8DN	Fru talman! Den dystra bild som Open Doors presenterar i sin årliga rapport visar att det förekommer allvarliga begränsningar av religions- och övertygelsefriheter för kristna, inklusive förföljelser och de saker som Staffan Eklöf tar upp, både i Afghanistan och i andra länder.
i-64Ex9Ti8uq4eS6TH3zeFJT	Sverige arbetar på bred front för att försvara och skydda dessa rättigheter och för att stärka skyddet för personer som tillhör religiösa minoriteter, inklusive kristna, i Afghanistan och i andra länder. Vi är aktiva och pådrivande både i EU för att EU ska ha en stark och enad röst och inom FN för att vi ska försvara och skydda individernas friheter att både välja, byta och utöva religions- eller trosuppfattning och för att de ska skydda de kristna minoriteterna. Det här är också inom ramen för den allmänna granskningsmekanismen i FN:s råd för mänskliga rättigheter.
i-GgLWE5YbycmirYJ5QwHGK5	Vi samarbetar också med likasinnade länder internationellt , till exempel inom ramen för den internationella kontaktgruppen och den internatio ­ nella alliansen för religions- och övertygelsefrihet.
i-JcxFYs5znZcrpEMNyy2wvd	Vi har också ett särskilt sändebud för interkulturell och interreligiös dialog som arbetar för att stärka åtnjutande av mänskliga rättigheter också för personer som tillhör kristna minoriteter och för att motverka förföljelse av personer som tillhör andra religiösa minoriteter.
i-XCoZJh7sSVXkAuatKr2NKT	Sedan talibanerna tog över i Afghanistan har, utöver situationen i Mellanöstern och Nordafrika som vi känner till, minoriteternas roll i Afghani ­ stan både bevakats och belysts. Sverige sätter tryck på den självutnämnda talibanregimen för att respektera de internationella regelverk som finns, inte minst genom att vi agerar tillsammans med andra EU-länder.
i-92Y6U1oCnKxBKwYUWkf8LU	Fru talman! Ministern redogör för ett antal åtgärder. Man kan undra varför dessa inte står i svaret. Det är dock en mindre fråga.
i-GN7wu19EiawPkiNe1XmoT5	De åtgärder som ministern beskriver är alla på ett övergripande plan. De är viktiga, hela tiden och i hela världen. Men nu handlar det om åtgärder mot ett av de värsta dåd som pågår just nu i världen och som Open Doors har högst på sin lista.
i-A5AXU3Mdm1mcdbPmPifV5m	Ministern säger att man sätter tryck huvudsakligen genom EU. Då kan man undra hur detta tryck utövas. Det vore väldigt intressant att veta om det finns något villkorande i det trycket, för det är det som kan göra skill ­ nad. Jag tror inte att ord kommer att göra så stor skillnad för talibanregimen. Den är hårdför.
i-WjNyVvCqDWxreW54zPF4Wz	Jag drar mig till minnes vad jag hörde i Sveriges Radio P1, där Matilda Ernkrans sa: Vi kan se att vi behöver gå vidare så småningom från humanitärt stöd till utvecklingsbistånd, men det måste göras utan att man på regeringsnivå för några samtal med den självutnämnda talibanregimen.
i-SsaK6Bph9giabVC5cLwzEB	Trycket sker alltså inte genom samtal i dag och kommer inte att göra det i morgon, kan man i alla fall få intryck av. Jag undrar om det betyder att regeringen inte tänker ställa några krav för det kommande utvecklingsbiståndet heller, om det nu blir ett sådant, vilket det verkar som utifrån Matilda Ernkrans svar .
i-YA6URWPSmQ8DZ4PBZQE2BD	Kommer regeringen inte att kräva att de systematiska morden på krist ­ na ska upphöra? Eller en mer konkret fråga: Kommer utvecklingsbiståndet att villkoras med krav på att talibanerna hejdar och lagför mördarna som systematiskt mördar kristna?
i-KhtHeayHgXQbBPrFPmhafs	Fru talman! Staffan Eklöf ställer en rad specifika frågor om biståndet som givetvis ska ställas till biståndsministern.
i-Rudxbg52asGQxbitzsXK9H	Däremot kan jag generellt säga att situationen i Afghanistan är väldigt allvarlig, och utöver förföljelsen av kristna har över hundra personer med koppling till regeringen och säkerhetssektorn letats upp och dödats. Man har arresterat journalister och kvinnorättsförsvarare, och omvärlden har därför ställt en rad krav på talibanregimen.
i-NE62L7ShL5gy6pnkaAxaPU	Jag har full förståelse för den rädsla som inte bara kristna utan också andra personer som tillhör minoriteter känner i dagens Afghanistan. Det är många kvar, även om vi har fått ut många via de evakueringar som har skett.
