i-GqTVVDjJXYwXJFxbmhLeYz	Följande skrivelser hade kommit in:
i-UH7YuuywbjR5JTKJoYVuH9	Vår ambassad i Ankara har också följt genomförandet av lokalvalen, och det är en viktig uppgift för oss liksom att vi följer rättegångar och så. Vi har också genom biståndet gett stöd till en kampanj som syftar till att öka valdeltagandet.
i-4UERMPCuy7PoSHTxgxPJjX	Regeringen ha upprepade gånger tydligt kritiserat att oppositionspolitiker i Turkiet fortfarande sitter fängslade. Vår kritik gäller inte minst situationen för HDP:s partiledare. En förutsättning i pluralistiska och demokratiska samhällen är att partier och kandidater tillåts verka i enlighet med sina mandat och på lika villkor. Vi har visat solidaritet med HDP-ledarna, inte minst genom rättegångsbevakning.
i-S5Cp7dDt9P2nMyiZWQrj21	Nu måste vi fortsätta att sätta press på Turkiet att återvända till en fredsprocess med kurdiska grupper och att stärka demokratiska verktyg såsom fria medier och rättvisa förutsättningar för alla partier.
i-UKX4fnm8nQQG5YGHvSnEQr	Fru talman! Jag tackar utrikesministern.
i-LeArdAhBdMinJMeJVwUX44	Ja, det är viktigt att Sverige samarbetar med andra EU-länder, som Tyskland, som har varit tydligt vad gäller Turkiet, och Frankrike med flera. En lösning på den kurdiska frågan är en förutsättning för fred i Mellan ­ östern. Liksom det palestinska folket i Palestinakonflikten står det kurdiska folket under press och förtryck av olika stater som inte vill att de ens ska existera.
i-Seb5qVNJuMqkcp5BaTEJet	Yttrandefrihet, mänskliga rättigheter och demokrati är viktigt för Sverige som är en stor humanitär och feministisk rättsstat. Halva den turkiska befolkningen är kvinnor, och den 8 mars besköt Erdoğan kvinnomarschen i Istanbul. När kvinnorna skulle tala satte man på ett böneutrop för att störa dem, och sedan sa man att de var antimuslimska kvinnor som demonstrerade under ett böneutrop och besköt dem.
i-KpX2fiUBTcernmvFtN8qjg	Ur många olika synpunkter är det viktigt att kritisera Turkiet och kräva demokrati och mänskliga rättigheter. Turkiet är ju fortfarande ett kandidatland till EU.
i-XXChQVBRwTQEoMJPCWo7JN	De fattiga delarna av Turkiet är hårt drabbade av den ekonomiska situa ­ tionen, inte minst de kurdiska områdena, som är väldigt ekonomiskt efter ­ satta. Vad gör kurdiska ungdomar om de inte kan gå i skolan, om de be ­ skjuts och om de förnekas sina rättigheter? Jo, de går upp i bergen och tar till vapen i peshmerga och gerilla.
i-V9RmGy2BUoa2K6GgMK5HgH	Turkiet vill inte att denna konflikt ska lösas. Turkiet har annekterat Af ­ rin, en stad och ett folk som från början stod helt ensamt mot Daish. Till ­ sammans med andra grupper fick de bort Daish i hela regionen. Men Erdo ­ ğan vill inte ha kurderna som sin granne utan hellre Daish, och därför hotar han att anfalla med militär. Erdoğan och Turkiet har flera gånger anfallit Kurdistan och Irak. För inte länge sedan förstördes byar, och 20 människor mördades, varav några var minderåriga.
i-JpVN4W3LSiEweyj5AdSr2b	Turkiet gör precis vad det vill i denna region. Därför behövs det en röst, och särskilt Sveriges och utrikesministerns röst är viktig. Om inte den kurdiska frågan kommer upp på förhandlingsbordet kommer det kurdiska problemet aldrig att lösas, vare sig i Irak, Syrien, Turkiet eller Iran. Om man inte tvingar Turkiet till förhandlingsbordet kommer det hela tiden att blåsa upp konflikter , där kvinnor och oskyldiga får betala.
i-E62uTJDQqoZwtjCgbs8FLC	Vill utrikesministern på något sätt samla regeringarna i EU och lyfta upp dels frågan om politiska fångars frigivning, dels den kurdiska frågan och annekteringen av Syrien?
i-F1GM8DL5VVhW1vfLXjJ3TC	Fru talman! Låt mig säga något om hur Sverige engagerar sig. Reger ­ ingens engagemang för Turkiet gäller hela dess befolkning, och vi avser att fortsätta att tala med en bredd av aktörer i landet. Vi är oroade över det krympande utrymme som vi ser att oppositionen och det civila samhället verkar inom.
i-8dTnECAsfosHFqLGnQeBRn	Vi har ett bilateralt reformstöd till Turkiet, och genom det vill vi bidra framför allt till ett livskraftigt civilsamhälle i landet. De organisationer som får svenskt bistånd är bland annat aktiva inom områden som rör mänskliga rättigheter, inte minst yttrandefrihet, demokratifrämjande och jämställdhet.
i-R9NqjFWkU5sg2m6CCMff32	Vi verkar för att EU ska ha en gemensam och tydlig Turkietpolitik, och jag tror att vi anses höra till de länder som är mest aktiva i denna fråga inom EU. Vi har varit drivande i att få till stånd tydliga EU-uttalanden inom bland annat OSSE och Europarådet, inte minst med bäring på till exempel mediefrihet i Turkiet. Yttrandefrihet, mediefrihet och fri press är förutsättningar för ett demokratiskt samhälle. En annan förutsättning är att partier och kandidater kan bedriva sitt politiska arbete och delta i val på lika villkor.
i-UFiBKwzU2zr7Hdq3iVXBe9	Regeringen har ända sedan Turkiets militära insats påbörjades i Afrin vid upprepade tillfällen kritiserat Turkiet för dess militära agerande. Detta har vi framfört bilateralt vid flera tillfällen, också i FN:s säkerhetsråd och i EU. I EU:s senaste rådsslutsatser om Syrien uttrycker vi utrikesministrar en tydlig kritik mot operationen och oro för de humanitära konsekvenserna. Vi uppmärksammar också den folkrättsliga dimensionen av Turkiets agerande, och vi betonar att rättsliga skyldigheter måste respekteras.
i-E23ew7zgU8iCfFRiUUTdFD	På initiativ av Sverige och Kuwait antog FN:s säkerhetsråd enhälligt resolution 2401 förra året. Där kräver rådet vapenvila i hela Syrien för att möjliggöra humanitärt tillträde. Vi var tydliga med att detta också gäller Afrin, och vi har uttryckt kritik när resolutionen inte efterlevts.
i-Q962mGmnu18MF5YogYTk3x	Människor som tvingas fly på grund av Turkiets militära operation måste ges möjlighet att återvända på ett säkert, frivilligt och värdigt sätt. Vi har därför sett med stort allvar på att rebellgrupper stödda av Turkiet har plundrat flyktingars hem i Afrin , och vi har fördömt detta.
i-5soZF67n5p7co6tUPo5Goq	Det finns ingen militär lösning på konflikten i Syrien. Detta gäller oavsett om vi tittar på Turkiets agerande i Afrinprovinsen eller på konflikten i dess helhet. Det enda sättet att få slut på våldet och skapa en hållbar fred är genom en FN-ledd politisk process. Alla sådana processer måste inbegripa kvinnor, som utgör hälften av befolkningen där och i resten av världen. Det blir ingen hållbar fred om inte kvinnorna inkluderas.
i-KRzcuEmwfp3xWw1yhKzGYi	Fru talman! Tack för redogörelsen, utrikesministern!
i-P8xWca9a6amYcMT7twAWxp	Jag vet att utrikesministern är engagerad. Jag vet att Sverige är en stor humanitär biståndsgivare i olika sammanhang. Detta ger en stolthet över Sverige på många sätt. Problemet är att Turkiet inte lyssnar, trots alla redogörelser som den som utrikesministern nu framförde. Turkiet vill inte lyssna. Turkiet vill fortsätta både med militära hot och med att fängsla ännu fler folkvalda politiker. Det var nära i går kväll, till exempel, när man hörde att man förlorat valet. Det ville man inte acceptera, och man ville inte ens räkna tiotusentals röster. Men det hjälper inte, för demokratin måste ändå segra någon gång. I Turkiets fall vill dock Erdoğan tyvärr inte det. Han vill ha enmansvälde i Turkiet och säger att alla andra är islamo ­ fober. Så försöker han framställa hela Europa, för det får man kritisera.
i-9wnfXNT9NxTbKAgYR4DCry	Det är därför viktigt att Sverige går i bräschen för att EU tillsammans ska kritisera ännu starkare och kräva frigivning av de politiska fångarna. Jag hoppas verkligen att utrikesministern fortsätter att göra detta när det gäller isoleringen av politiska fångar, däribland Öcalan. Annars kommer folk att stå här utanför och protestera, med all rätt. I Turkiets fängelser hungerstrejkar politiker på grund av situationen där. Man respekterar inte internationella lagar och normer.
i-MHhC5TZXfsYefGy4ANbHWK	Min förväntning är att Sverige fortsätter att driva på och fördömer Turkiet nu.
i-GBpQKxLMHzN8kH5PvXt7mE	Fru talman! Tack till Amineh Kakabaveh.
i-MimuA7gQ4CrtUSaSCVrvPC	Vi möts regelbundet i dessa debatter, som i hög grad är ett uttryck för den frustration som vi känner efter ofta långvariga perioder då vi har kritiserat och använt alla våra ord, som vi politiker har som verktyg. Ord betyder något. Vi har våra samarbeten och alla våra plattformar för att göra tydligt vad vi tycker och vilka krav vi vill framföra, och ändå ser vi att det inte rör sig i den riktning som vi skulle önska. Ibland går det åt alldeles fel håll. Så ser den politiska verkligheten ut, och då måste vi fundera över om vi behöver fler politiska instrument. För EU:s del har det handlat om att vi inte längre har några pågående medlemskapsförhandlingar. Detta innebär att vi kan införa sanktionsbestämmelser i vissa fall gentemot länder. Den typen av verktyg har vi också.
i-5oWbAb7eLk8YNUjHSyd4FR	Det ska vara alldeles klart för alla att vi tar varje möjligt tillfälle att ta upp våra budskap med turkiska motparter. Vi gör detta mycket aktivt via både FN och EU. Vi gör det också på egen hand, och regeringen kommer att fortsätta att kräva att folkrätten och mänskliga rättigheter respekteras och att man lever upp till internationella konventioner och visar ett mänskligt ansikte. Amineh Kakabaveh kan vara helt övertygad om att vi kommer att fortsätta detta arbete med full kraft.
i-7SEDum6s8bVy3UzG6fkfpr	Tack för debatten!
i-UJoRqhFHnHeXm9ZeU86Q2P	Fru talman! Amine h Kakabaveh har frågat mig om jag anser att Sverige ska driva en kraftfull politik i FN och i andra internationella organ för kvinnors rättigheter. Interpellanten har också frågat mig om Sverige ska driva en kraftfull politik i FN och EU mot hedersförtryck, barn- och tvångsäktenskap och könsstympning samt om jag avser att driva kravet på att FN genomför en inventering och undersöker i vilken utsträckning medlemsländers nationella lagstiftning ligger i linje med FN:s deklaration om de mänskliga rättigheter na och FN:s deklarationer om kvinnors och barns rättigheter.
i-LUhQ6nNuWjNDeySrWpLeHG	Det är nu mer än fyra år sedan regeringen lanserade en feministisk utrikespolitik, med målet att främja kvinnors och flickors rättigheter, representation och resurser. Det ta innebär att all vår utrikespolitik ska ha ett jämställdhetsperspektiv.
i-4UQXheFKoNGkifGHJGK2RZ	Vi ser nu hur fler länder inspireras och tar efter. Vårt arbete har lett till att temat kvinnor, fred och säkerhet får större uppmärksamhet inom FN, EU och OSSE. Vårt kvinnliga medlingsnätverk är aktivt i flera regioner och arbetar för konfliktlösning i allt fler länder. Vi har för första gången i FN:s historia en generalsekreterare i FN som kallar sig feminist. Vi kan vara stolta över vårt engagemang och över att vårt konsekventa arbete gett resultat.
i-9PdnD3VmNmCabeTKcuidqm	Sverige har oförtrutet drivit på arbetet mot alla former av könsrelaterat våld , b land annat genom att driva på frågan inom FN och EU och genom samarbete med int ernationella brottmålsdomstolen, ICC. Att motverka könsrelaterat våld är ett av de centrala områdena i den nya globala strategin för jämställdhet i utvecklingssamarbetet , som finansieras med sammantaget 1 miljard svenska kronor under fem år.
i-8N1GJYmocMMRYWdEk68Krg	Sverige ger också ett omfattande stöd till sexuell och reproduktiv hälsa och rättigheter. Vi finansierar bland annat insatser för preventivmedel , säker och laglig abort och sexualundervisning.
i-DwaFa6nK23u3C7p6KoqpXT	Sverige stöd er också de FN-organisationer, bland annat UN Women, UNFPA och Unicef, som internationellt och lokalt motverkar barn- och tvångsäktenskap, könsstympning och hedersförtryck. Vi verkar för att internationella ramverk och normer fördömer dessa företeelser. Vi har också stöttat civilsamhällesorganisationer och andra aktörer som arbetar mot könsrelaterat våld genom bland annat stödcenter för utsatta kvinnor, hjälptelefonlinjer, juridiskt stöd för offer för våld i nära relationer samt arbete med förövare.
i-4Pcgs6wQgv2ETrz5UdqQWZ	FN:s råd för mänskliga rättigheter fyller en viktig funktion i att följa och övervaka kvinnors och flickors åtnjutande av mänskliga rättigheter. Jag lyfte särskilt denna fråga i mitt anförande i MR-rådets 40:e session i Genève i februari i år. Kommittén för FN:s konvention om avskaffande av diskriminering av kvinnor, även kallad Cedaw, gör ett viktigt arbete genom att granska staters arbete för att förhindra diskriminering av kvinnor. Samtidigt återstår mycket arbete, det vet vi alla här. Vi går nu in i en ny mandatperiod med fortsatt kraft i den feministiska utrikespolitiken. Vi ska fortsätta vårt arbete med kvinnor, fred och säkerhet samt verka för att den frågan får ännu större uppmärksamhet i organisationer som FN, EU och OSSE. Vi fortsätter vårt omfattande stöd till SRHR. Vi ska arbeta mot människohandel, och vi ska också i än större utsträckning sprida erfarenheter av den svenska sexköpslagen.
i-4sfUGLFsxqMfbsvxxp53oZ	Sveriges plats som ett av de mest jämställda länderna i världen är resultatet av ett politiskt engagemang och långsiktigt arbete. Inte minst civilsamhället och kvinnorörelsens organisationer har en viktig betydelse för detta.
i-6sQpp2U8RhhKgoagQbrBDs	Sverige ska fortsätta vara en ledstjärna i den internationella kampen för alla kvinnors och flickors åtnjutande av de mänskliga rättigheterna.
i-GFjkmtr2v3VHPRgKkgTCDY	Fru talman! Jag tackar utrikesminister Margot Wallström för en omfattande redogörelse. Vissa insatser som Sverige har gjort är naturligtvis bra, och det är en bra redogörelse som utrikesministern lämnar om vad som har gjorts. Men ur svensk synvinkel vore det närmast en skandal om Sverige inte gjorde det som har gjorts. Utrikesministern räknar upp en rad interna ­ tionella organ där Sverige har varit aktivt.
i-U4MBUtUPjE3qbF6bYaeRmR	Jag ställde faktiskt en fråga och hade ett mycket konkret förslag om att Sverige borde kräva en inventering av vilka stater som har kvinnodiskriminering inskriven i lag, trots det som står i FN:s deklaration om mänskliga rättigheter och om kvinnors och barns rättigheter. Det kanske kan vara en känslig fråga. Men jag vill faktiskt ställa frågan och framföra mitt förslag om inventering, även om det kanske är lite knöligt och kontroversiellt. Men om man inte pekar på ett missförhållande och inte preciserar sina krav kommer man inte heller till rätta med detta.
i-gQmGydVbHPV3f221U8SEa	Varför har vår feminism i Sverige väckt så stor uppmärksamhet? Jo, det är därför att vi har vågat kritisera oss själva och ifrågasätta. Det gör vi i dag också med metoo och insatserna mot hedersförtryck.
i-VLoPK6myK2tmEcguXoCW74	Genom att ställa sådana krav pekar man ut dem som på detta sätt diskriminerar kvinnor. De ska pekas ut och faktiskt skambeläggas. Jag skulle till och med vilja använda ett starkare uttryck, nämligen att de faktiskt ska brännmärkas. Det är könsapartheid i till exempel Saudiarabien, Förenade Arabemiraten, Afghanistan, Pakistan, Somalia, Iran och många andra länder, och kvinnor diskrimineras i lagstiftningen. Dessa länder har samma röst i FN som Sverige.
i-Q2SdMd2nWRMsRgb62uMfVF	Min fråga är: Kommer utrikesministern att se till att tillsätta en kommission för att se över lagarna om detta i dessa länder, där halva befolkningen – kvinnor och barn – diskrimineras på grund av att de är kvinnor? I många länder könsstympas till exempel miljoner kvinnor och flickor årligen, även om detta kanske inte finns med i lagstiftningen. I vissa länder i Afrika har man börjat ifrågasätta detta. Men i många andra länder gör man inte det. Det handlar om rädsla i fråga om mödomen och mödomshinnan, trots att mödomshinnan inte finns. Men detta styrs av stater och deras lagar eller oskrivna lagar.
i-FKj5Xxy8gmg52d1F6uojWB	När man ser djupare på detta tänker man: Hur kan det vara möjligt att sådana länder där barnäktenskap, tvångsäktenskap och könsstympning finns, och som 2019 har medeltida lagstiftningar, har samma röst i FN som Sverige och andra demokratiska länder? En enskild individ som faktiskt har en demokratianda inom sig kan inte acceptera att miljoner flickor och kvinnor könsstympas, gifts bort genom tvångsäktenskap och mycket annat. Kvinnor blir till och med stenade på grund av utomäktenskapliga förhållanden i länder som sitter i FN. Detta menar jag att vi borde göra någonting åt.
i-YHLcAFQw634HeMiumwognF	Fru talman! Den feministiska utrikespolitiken har inneburit en revolu ­ tion på samma sätt som metoo-rörelsen , och de går hand i hand. Det handlar ju om halva befolkningen som har varit förtryckt under så lång tid, och det handlar om mänskliga rättigheter.
i-FgiG55hXULvkMBgyUgk1wU	Vi får inte glömma att det är bara ungefär fyra år sedan, i oktober 2014, som den feministiska utrikespolitiken började. Det är egentligen inte så lång tid, men det känns som oceaner av tid eftersom den har fått ett så stort genomslag. Det handlar inte bara om att Sveriges regering var den första regeringen som hade en feministisk utrikespolitik, utan det var också den första regeringen som också kallade sig för en feministisk regering. Det innebär inte bara att det är hälften kvinnor och hälften män i regeringen utan att hela politiken ska genomsyras av jämställdhet och att man ska ha ett feministiskt perspektiv.
i-36D6jn7oz29CCfyMuPR1UH	Kampen har bara påbörjats. Vi har jobbat i fyra år. Men detta är sådant som har pågått i hundratals eller tusentals år, alltså strukturer som tar lång tid att förändra. Jag tycker ändå, efter dessa fyra år, att man kan se att det har hänt enormt mycket. Inte minst kan man se hur detta sprider sig och hur fler länder får upp ögonen för Sverige, de flesta på ett positivt sätt. Sedan finns det naturligtvis många konservativa krafter som ser detta som ett hot. Men att man ser detta som ett hot visar bara att vi har lyckats nå fram med detta.
