i-mgTSontHYWnxwpPQjFmrG	Följande dokument hänvisades till utskott:
i-GXFFnp6s4K7bdvQsa7FPgK	Slutligen: Regeringen fortsätter att följa och analysera utvecklingen och undersöker också fortsatta åtgärder i ljuset av de negativa konsekvenser som spridningen av sjukdomen covid-19 medför för konsumenter och företag.
i-GRVTZYPyo8A2RifowcmU85	Fru talman! Tack, statsrådet, för svaret!
i-AEwU9mZ25jySRwvAi4zLd	Interpellationen handlar, precis som statsrådet sa, om ungefär 1 miljon konsumenter som har betalat resor och kanske ska åka på sin drömsemester. Det kan vara någon som har sparat i ett antal år – en barnfamilj i Hofors som ska göra sin drömresa. Sedan kom viruset, som har gjort resor omöjliga.
i-8QZ46dp3pZ77Sdji7DCSBL	Först vill jag konstatera att statsrådet antingen inte är riktigt sanningsenlig i svaret eller också tolkar de tidigare svaren från dels statsrådet själv, dels från näringsminister Baylan.
i-8STZs7eHQdei4VayiVGanZ	Vi moderater har varit aktiva i denna fråga. Vi har i civilutskottet lagt fram ett utskottsinitiativ då vi ville hitta en lösning som gör att barnfamiljen i Hofors kan få tillbaka sina pengar. Jag har ställt skriftliga frågor till statsrådet själv men även till näringsministern om hur man ska lösa situa ­ tionen.
i-WN5HHQ98obrZeBKuTEAd2c	Det finns två skriftliga svar, ett från näringsminister Baylan, som avgavs den 16 juni. Där talar han om att ”o m fler resenärer accepterar värdebevis i stället för återbetalning skulle det kunna vara en del i att minska det ekonomiska trycket på resebranschen ”. Sedan hänvisas till EU. Samma sak har faktiskt ministern sagt själv i ett annat skriftligt svar: ” Uppdraget ligger i linje med skrivelser från Europeiska kommissionen, bl.a. en rekommendation om användningen av vouchrar med anledning av utbrottet av covid-19 . ”
i-MpGxec2M6joFHM7vf163BW	Detta betyder att två statsråd har gett ett besked till svenska folket, via Sveriges riksdag, om att man kan och kanske till och med borde använda vouchrar och värdebevis. Vad är då problemet med detta, fru talman? Jo, det är att den som har bytt ut sin förbetalda resa mot ett presentkort eller en voucher hamnar helt utan konsumentskydd. Om arrangören, flygbolaget eller resebyrån går i konkurs gäller ingen som helst resegaranti.
i-6b98Rj7xYXvpxmQvY8g2dm	Vi moderater har uppmärksammat detta. Vi har fört en dialog med såväl Sveriges Konsumenter som med resebranschen själv. Det vi har frågat om är hur vi i politiken kan hjälpa till för att hitta en lösning på problemet. Om en barnfamilj i Hofors har betalat en stor summa och sparat i flera år för att kunna åka på sin drömresa och det sedan kommer ett coronavirus måste politiken hitta en lösning. Det tycker i alla fall vi moderater.
i-EjHEoJJLjUsYLvA27N7RMf	Man har föreslagit att vi ska titta på exempelvis Danmark, där en fond har inrättats. Fonden är självfinansierad, det vill säga politiken måste lägga ut kanske 6 miljarder i Sverige. Pengarna betalas tillbaka till konsumenterna, men sedan utgår en liten avgift. Precis som statsrådet sa i svaret på min interpellation kan det bli lite dyrare resor i framtiden. Ja, det kanske skulle kunna vara så att varje resa under 20 år framåt blir 25 kronor dyrare.
i-J4JhAE9zd4EejckSeY1wRM	Exakt hur en sådan fond skulle göra eller exakt hur ett sådant förslag skulle utformas i en svensk kontext har naturligtvis inte riksdagen möjligheter att reda ut, utan det måste regeringen göra med sina utredningsresurser. Det var därför vi tog utskottsinitiativet under våren i civilutskottet. Vi ville uppmana regeringen att hitta en lösning på problemet. Vi tycker nämligen inte att en barnfamilj i Hofors, som har sparat pengar i flera år till sin drömresa, nu ska se pengarna frysa inne. Vi tycker inte att det är rimligt.
i-EjEJ5816Lacf7Yqp5y1gSc	Min kollega David Josefsson kommer att tala om detta ur ett näringslivsperspektiv, eftersom det är ett antal resebyråer som också har hamnat i en mycket svår situation beroende på pandemin. Detta kommer jag att återkomma till i mitt nästa inlägg.
i-B1kCvcGHMgHP5QQxGh5fDD	Fru talman! Jag tackar Lars Beckman för att han har ställt en högaktuell interpellation. Precis som Lars Beckman belyser slår dagens situation hårt mot alla svenskar som har bokat resor och som på grund av regeringens handlingsförlamning riskerar att bli stående med värdelösa vouchrar. Det är vouchrar som inte kommer att gå att lösa in vid insolvens och inte heller inkluderas i resegarantin.
i-B7jmQYSAZJnXZTKpPYg8tS	Det som jag tycker är viktigt att komma ihåg i detta sammanhang är att researrangörerna själva inte kan bli beskyllda för denna situation. I stället är researrangörerna i praktiken belagda med ett närmast fullständigt yrkes ­ förbud. Det har varit omöjligt att arrangera resor under rådande pandemi, samtidigt som paketreselagen inte har varit skriven utifrån en sådan situa ­ tion, särskilt när UD:s reserekommendationer hela tiden riskerar att änd ­ ras. Det blir ett moment 22 för researrangörerna.
i-2Hu9AHxLJhynhXD7ovix3c	Då är den stora frågan: Vad blir den långsiktiga effekten för den svens ­ ka resebranschen? Vad händer när konsumenterna inser att det voucher ­ system som regeringen har tagit fram inte ger ett fullgott skydd, precis som Lars Beckman påpekade? Och framför allt, vad händer med svenska rese ­ arrangörer när de inte längre kan erbjuda ett fullgott konsumentskydd till sina kunder? Kommer resebyråerna alls att överleva, och kommer de att våga satsa när de hamnar i kläm så som lagen i dag är utformad?
i-Vkc9g7NRnnubiQid4ayPEb	I Göteborg, som jag kommer från, finns det flera stora resebyråer. Och många i branschen är väldigt oroliga för framtiden. Strax före sommaren gick den Göteborgsbaserade jätten Resia in i rekonstruktion, och för några veckor sedan gick språkresekoncernen STS – också den med huvudkontor i Göteborg – i konkurs men kunde ganska snart återstarta verksamheten tack vare nya ägare.
i-G8NQKPkzSMeYKECoDFz8DQ	Enligt en undersökning av resebranschföreningen SRF i maj fruktade nio av tio resebyråer att de skulle gå i konkurs på grund av corona. Enligt samma branschförbund var permitteringsgraden bland de anställda hos resebyråer och researrangörer i augusti i år hela 83 procent. Detta kan jämföras med 42 procent för hotell och restaurang, som är en annan bransch som är extremt krisdrabbad. Men resebranschen ligger alltså nästan dubbelt så högt. Snittet i näringslivet låg på 12 procent. Det är alltså 83 procent mot 42 procent, och 83 procent mot 12 procent. Jag tycker att man ska låta detta sjunka in.
i-QvXvfmDCFE87mN6N8NNtWz	Dessa siffror är hisnande och givetvis inte långsiktigt hållbara. Om denna situation fortsätter riskerar Sverige att inte ha någon resebransch kvar efter pandemin. Det betyder givetvis inte att svenskar inte kommer att fortsätta resa. Men om företag, och i förlängningen jobb, försvinner från Sverige kommer utländska aktörer i stället att gå in på den svenska marknaden. Det är inte nödvändigtvis till gagn för vare sig svenska konsumenter eller svenska arbetstillfällen.
i-AVe7qHXJ9tNNwdhY5iWdfh	Fru talman! Statsrådet! 1 miljon resenärer har förlorat pengar på grund av coronapandemin. Många resebyråer har gått i konkurs, precis som min kollega David Josefsson berättade här. Vad är problemet? Varför händer ingenting? Miljöpartiet kan inte få förstöra denna fråga också och blockera en utveckling för att rädda denna bransch.
i-TngjR6hvnEYaMfXxNfXj7f	Branschen har föreslagit att det ska vara en fond för att hantera detta. Vad väntar regeringen på?
i-FFviPo6cSGMMNtH8Sz3ecS	Fru talman! Till att börja med vill jag säga att jag är här för att svara på frågor i egenskap av konsumentminister, inte näringsminister. Men jag vill ändå med anledning av de frågor som har ställts, bland annat från David Josefsson, passa på att säga att regeringen verkligen har gett generella stora stöd. Sedan kan man alltid diskutera inriktningen på stöden till branscherna. Men vi följer nu, tillsammans med företagen, väldigt noga utvecklingen för att se hur detta slår. Det lär vi få återkomma om.
i-VyNhc1MmRqcDeH9CojjZBc	Lars Beckman tar upp diskussionen om vilka uppdrag som vi har gett och svaren på de frågor som har getts tidigare. Att ge i uppdrag till Kammarkollegiet att undersöka om vouchrar kan vara ett system var i enlighet med vad andra länder har gjort. Det är mycket viktigt att vi hela tiden analyserar vad som är möjligt att göra. Det är i ljuset av detta som vi också har uttalat att det kan vara ett alternativ. Nu har vi fått ett tydligt svar på det från Kammarkollegiets sida.
i-FKGAgF74PaEJCZ3hHW4PZx	Precis i enlighet med det svar som jag har gett är det viktigt att säga att det är oerhört väsentligt att konsumenterna vet vilka rättigheter de har när det gäller att få tillbaka sina pengar. Ett alternativ med värdebevis innebär att de i så fall ska boka en ny resa.
i-J7RPmX1xjzAAk7ymywFMFU	Jag vill verkligen säga att vi i Sverige har ett starkt konsumentskydd, till skillnad från många andra länder. Sedan finns det alltid en hel del som vi behöver fundera på om det kan göras bättre.
i-Xumd9uVXpx6Lzw3stg4dfU	Med anledning av pandemin är det viktigt hur vi följer upp detta, och det är en diskussion som vi för med Konsumentverket. Allmänna reklamationsnämnden, ARN, får i år en förstärkning på 3 miljoner kronor. Nästa år blir det enligt propositionen 2 miljoner kronor ytterligare, beroende på de ärenden som finns.
i-TBFARDSNWh7hdygLDyVXBK	Självfallet kommer det att vara viktigt både med de förebyggande insatserna och hur vi stärker konsumentskyddet mot bakgrund av den rådande pandemin.
i-GFoLppVmnyzdixSb5MBi43	Det har gjorts jämförelser med Danmark. Det system som vi har i Sverige, som jag tog upp i svaret, med individuellt ställda garantier ställde sig riksdagen enhälligt bakom och tyckte att det var en bra balans mellan konsumentskyddet och näringsskyddet. Ingen hade kunnat förutse pandemin, och detta ställs i en ny dager. Vi tittar också på hur andra nordiska länder arbetar. I till exempel Danmark vet jag att det nu förs en diskussion om den fond som man har där verkligen är robust och klarar detta.
i-AdQ9xuetudgHzYyfoL2TDy	Det måste alltså hela tiden föras diskussioner om vilka insatser som ger mest effekt. Att ändra ett system från en dag till en annan är inte så enkelt att göra.
i-DKnLYnYtStfVSpw4WKNMo6	Grunden för vårt sätt att arbeta i Sverige med de ställda garantierna fattades det beslut om i riksdagen 2018. Sedan behöver vi tillsammans med de andra nordiska länderna se om några förändringar ska göras. Men det återstår.
i-K8Jsuc7ajGXLLiQPW6K12T	Fru talman! Det finns ingen som helst politisk konflikt om Allmänna reklamationsnämnden, ARN. ARN har prövat dessa frågor, om man har rätt till återbetalning eller inte, och ARN har också sagt att man som konsument har rätt till återbetalning. Det är alltså inte detta som frågan gäller. Frågan gäller precis det som min kollega David Josefsson sa, nämligen resebyråerna. Det spelar ingen roll om det finns hur många ARN-beslut som helst när det gäller en resebyrå om man inte har pengar att betala tillbaka till konsumenten. Det gäller också det bolag som ministern har direkt kontroll över – SAS.
i-NUTPevE2ruYTvdgbfB9Wbr	Jag vet inte om ministern brukar läsa Dagens Nyheter, Aftonbladet och Expressen, lyssna på Ekot och se på tv. Många förtvivlade konsumenter har gått ut i medierna och sagt: Vi måste få tillbaka pengarna.
i-Wudr4NTR9uJeqm28gM85nB	25 000 kronor må vara lite pengar för ett statsråd i en svensk regering. Men för en barnfamilj i Hofors är det väldigt mycket pengar. Man kanske har sparat i flera år för att göra den där drömresan. Ingen hade kunnat förutse pandemin. Men när detta händer måste regeringen naturligtvis agera.
i-J5DawSrFWv3sATx9ANSyy4	I en normalsituation har vi ett konsumentskydd som är tillfredsställande. Det kan säkert bli bättre på marginalen. Men detta är, fru talman, ingen normalsituation. Detta är en pandemi. Det krävs en akut åtgärd i en akut situation.
i-RYksFsuvdxqp4AAvYNAaDg	Fru talman! Jag ska inte stå i talarstolen och spekulera, men regeringen består av två partier. Det skulle inte förvåna mig om det var Miljöpartiet som blockerar den här frågan. Det kanske går emot ett av regeringspartiernas innersta själ och DNA att se till att konsumenter som köpt just flygresor får tillbaka pengarna. Hur ska man annars förklara att statsråd efter statsråd under våren, i svar efter svar på mina frågor och mina kollegors frågor, säger att de följer utvecklingen noga och kommer tillbaka med åtgärder om det krävs? Jag tror att det är exakt så man formulerar sig. Man säger att regeringen har kontakt med branschorganisationer och fackförbund och följer utvecklingen noga.
i-PxgBGpwkaMCmk2p4f4jN6M	Vad är det regeringen tänker vänta på? Vad väntar man på? Att pandemin på något magiskt sätt skulle försvinna den här månaden tror jag inte att statsrådet tror. Att pandemin försvinner före jul tror jag inte heller att statsrådet tror. Så hur ska konsumenterna få tillbaka pengarna? Det är det interpellationen handlar om. Vad tänker regeringen göra utifrån hur verkligheten ser ut? Ett riksdagsbeslut från 2018 har ingenting med covid-19 att göra; det fanns inte en riksdagsledamot som då kunde tro att hela världen skulle stängas ned samtidigt. Men när det händer måste regeringen naturligtvis agera.
i-XZ1xMGPQUSZw5GPidW2P4V	Man hade kunnat stödja vårt initiativ i civilutskottet under våren och säga: Låt oss förutsättningslöst titta på frågan! Låt oss förutsättningslöst, i en svensk kontext, titta på om man kan skapa den fond som branschen själv har efterlyst och som Sveriges konsumenter har sagt sig se mycket positivt på. Jag har själv pratat med företrädare för Sveriges Konsumenter och frågat hur de som Sveriges viktigaste konsumentorganisation ser på frågan, och vid underhandskontakter säger de att den danska lösningen väl vore bra att utreda även i Sverige. Det har vi också sagt på europeisk nivå.
i-NP71Dr3mQNZatNN1WFyxCb	Den enda som inte verkar agera i frågan är alltså statsrådet. Det kan nämligen inte anses handlingskraftigt att säga att man följer utvecklingen noga. Det hjälper nämligen inte barnfamiljen i Hofors som hade skramlat ihop 25 000 kronor till sin drömresa, fru talman, och som går och väntar på en återbetalning för att få göra något annat med sina barn. Frågan är alltså återigen: Vad gör regeringen? Vilka åtgärder tänker statsrådet vidta för att hjälpa barnfamiljen i Hofors?
i-6o3pa1EFvfcePRd9t8vecr	Fru talman! Statsrådet verkar vilja vifta bort frågan om konkurser och säger att det är en näringsfråga och inte en konsumentfråga. Jag häpnar faktiskt över det svaret.
i-VRMm4LW8eFJQE4GQ8vp51M	Jag skulle säga att det absolut viktigaste för att upprätthålla ett bra konsumentskydd, fru talman, är att också minimera antalet konkurser. Går resebyrån i konkurs när man står där med en voucher är man nämligen helt oskyddad. Man saknar helt konsumentskydd. Det är också en framtidsfråga ur ett konsumentperspektiv: Vill vi att svenska konsumenter ska kun ­ na boka resor via svenska resebyråer enligt svenska regler, eller ska man behöva förlita sig på utländska resebyråer?
i-ARSYQ56RqggHSmoECq8fvT	Resebranschen själv har föreslagit inrättandet av en resegarantifond och på ett konstruktivt sätt visat att man genom en mindre avgift på varje resa på sikt skulle kunna göra fonden självfinansierad. Det skulle göra drabbade konsumenter skadeslösa, men det skulle också få människor att tryggt våga boka nya resor i framtiden. Frågan handlar nämligen lika mycket om framtiden som om de ca 1 miljon resenärer som i dag ligger ute med pengar, för finns det ingen framtid i resebranschen kommer inte heller den här miljonen resenärer att få tillbaka sina pengar.
i-H3HXXPApt5smxshMANHuN6	Vid två skilda tillfällen har januaripartierna avslagit initiativ i civilutskottet om att utreda utformandet av en sådan fond. Min fråga till statsrådet Lena Micko kvarstår därför: Vad är regeringens förslag för att stärka konsumentskyddet och rädda svenska jobb och svenska resebyråer?
i-8bEMuJdJd5TCd5T2j3BGH9	Fru talman! Till att börja med vill jag säga att jag står över de insinua ­ tioner som kommer från Lars Beckmans sida. Det är nämligen på det viset – och jag tror att de flesta människor i vårt land faktiskt ser det – att om det är någonting som regeringen har tagit på allvar är det pandemin, men tanke på alla de insatser vi gör på olika sätt såväl inom vård och omsorg som i samhällsekonomin. Det är klart att det alltid kommer att finnas mer att önska, men jag är övertygad om att de insatser vi gör för att få männi ­ skor i jobb och för att företag i vårt land ska kunna överleva och växa har stor betydelse för barnfamiljen i Hofors. Detsamma gäller att det finns en fungerande välfärd.
i-8Cm1mwbjAXmKAhuwMWPww2	Sedan finns det självfallet hela tiden olika insatser att fundera över. Vad ger mest effekt? Jag har stor respekt för att vi har olika intressen där. För mig som konsumentminister är det av stor betydelse att vi ser till att ha det stärkta konsumentskydd vi har i vårt land, men jag tror inte att någon hade kunnat tänka sig att pandemin skulle ta den här vägen. I och med det uppstår helt nya lägen. Lagstiftningen är tydlig här, men David Josefsson var inne på detta med vad som då händer med resebranschen och företagen. Vi har en stark bransch i vårt land. Vi har väldigt många researrangörer, till skillnad från de andra nordiska länderna. Vi hoppas ju att dessa arrangörer ska kunna fortsätta att verka och utvecklas, men självklart går de igenom en kris.
i-Dic3dDCQb6nb982fk5Tm3d	Det blir alltid en diskussion att föra gällande hur mycket staten ska gå in och ge till olika branscher, om den ena branschen är mer viktig än den andra och så vidare. Jag har stor respekt för det. Hittills har vi valt att säga att vi håller fast vid den lösning som finns med de individuellt ställda resegarantierna och att vi sedan har de generella stöden till företag. Vill man ändra på det och ha ett helt annat system kan det vara enkelt att säga: Ja, det gör vi direkt! Men det är också på det viset att det precis har sjösatts. Sedan kan man fundera på vad man behöver komplettera med.
i-Nrs7Kgm8HZiqWDpmFmQjX5	Fru talman! Jag noterar att statsrådet inte säger emot mig i att det är Miljöpartiet som blockerar frågan. Det är väl inte helt otänkbart att det är så, eftersom det är flygresor och resor det handlar om. Det är väl höjden av ondska för en miljöpartist.
i-R4GhJSMYpBkzZNjfvwhw93	Min interpellation handlar alltså om vilka åtgärder statsrådet avser att vidta för att säkerställa att de ca 1 miljon konsumenter som har köpt resor ska få sina pengar återbetalda. Vid två tillfällen har ministern nu hänvisat till att man kan gå till ARN. Ja, det har många konsumenter gjort, och de har fått rätt. De ska enligt ARN få tillbaka sina pengar. Problemet är, som David Josefsson har lyft in i debatten, att resebyråerna inte har pengar – och alla vet varför. Verkligheten slår alltid retorik, vilja och annat. Verkligheten är att 1 miljon konsumenter ligger ute med ungefär 6 miljarder. Den där barnfamiljen i Hofors som har sparat ihop 25 000 kronor till sin drömresa står alltså helt utan konsumentskydd. De kan anmäla resebyrån till ARN hur mycket de vill, och de kommer att få rätt – men de kommer inte att få tillbaka några pengar. Det är vad det handlar om.
i-ARf9XCE13AbJ3FGk4k5kPH	Som konsumentministern säger är det flera statsråd inblandade i den här frågan. Icke desto mindre krävs det att statsråden pratar ihop sig och gör någonting. Man kan nämligen inte nu, sex månader senare, fortsätta att i sina svar säga att man följer utvecklingen noga. Man säger inte ens att regeringen tänker göra någonting, utan man säger att man följer utveck ­ lingen noga. Jag tror att den miljon konsumenter som har betalat resorna faktiskt förväntar sig att regeringen gör någonting. Det kan handla om ett initiativ till utredning, att titta på den danska modellen eller någonting annat som gör att resebyråerna inte fortsätter att gå i konkurs – vilket gör att varje enskild konsument får se sina pengar bokstavligen flyga iväg.
i-EWBCd5NyW2xyariV8tgoP4	Fru talman! Jag representerar hela regeringen, både Socialdemokraterna och Miljöpartiet.
i-5DVp7Um3iKbyTnBvsRaSBg	När det handlar om det starka konsumentskydd vi har står jag fast vid uppfattningen att vi har det. Sedan är det självklart så att det har varit och är oerhört tufft för både människor och företag i den kris vi går igenom i och med den pandemi som råder. När det gäller just konsumentfrågorna och alldeles särskilt att kunna få ersättning för uteblivna resor enligt resegarantilagen är det så att Konsumentverket har tillsyn över detta. De följer noga upp hur det ser ut nu.
i-FPS4mR1cZ5JStTf25NL852	När jag säger att vi följer detta kan man välja att tolka det på olika sätt. Man kan tolka det som Lars Beckman gör, det vill säga att inget görs. Jag som sitter med kunskapen tolkar det som att vi jobbar väldigt aktivt för att se vad vi ytterligare behöver göra. Det finns all anledning att se vad vi tillsammans i vårt land, både konsumentrörelser och företag i olika bran ­ scher, kan göra gemensamt. Detta kan nämligen inte heller vara enbart statens ansvar.
i-6KED9WfJs8ecgzwJ5nURFz	Jag vill hälsa statsråden välkomna. Frågor besvaras i dag av infrastrukturminister Tomas Eneroth, statsrådet Peter Eriksson, statsrådet Anna Hallberg och statsrådet Lena Micko.
i-57R6ecyehLHd73Dso37dT2	En fråga ska vara av övergripande och allmänpolitiskt slag eller avse ett ämne som faller inom statsrådets ansvarsområde och rör dennes tjänste ­ utövning. Infrastrukturminister Tomas Eneroth besvarar såväl allmänpoli ­ tiska frågor som frågor inom sitt eget ansvarsområde.
i-GhpSugoemciRQjoE3DiUv8	Fru talman! Jag vänder mig till Peter Eriksson, biståndsministern, och tänker ta upp frågan om den flyttcirkus som regeringen har initierat. Det har varit omfattande turer runt Sidas val av nya lokaler, och sedan ett par år är det uppenbarligen en prioriterad fråga för biståndsmyndigheten med sitt ansvar för mångmiljardbelopp av skattebetalarnas pengar.
i-RTaN5osnkhF3vYZUMUCeDG	Först var det Botkyrka i Stockholms län som var den tänkta platsen i stället för som i dag på Gärdet i centrala Stockholm. Det är något som minister Peter Eriksson har bekräftat för mig på en tidigare ställd skriftlig fråga. Men nu visar det sig att redan i oktober 2018 hade Sida förhandlat med världens största bolag för fastighetsrådgivning, Cushman & Wakefield , om lediga lokaler i banken SEB:s tidigare lokaler i Bankhus 90 i Sundbyberg – också det i Stockholms län. Nu verkar man hamna där i tidigare banklokaler.
i-F5cCGU7Zvm2FZDQRnsBm62	Fru talman! Jag tackar för frågan.
i-PPEnZB1cP2GVuwoaDVxzXd	Regeringen har under några år flyttat ut en del myndigheter från framför allt Stockholms stad till övriga landet. Det har bidragit till att vi har fått en ökad statlig närvaro i en rad olika kommuner och andra delar av landet. Jag tycker att det har varit en viktig satsning.
i-7dgJUaohTM3tJgtSe7Myd8	Jag tycker att man ska se Sida-projektet i det perspektivet. Först var tanken att Sida skulle till Botkyrka, men det visade sig att det var svårt att hitta lämpliga lokaler till bra priser så att skattebetalarnas intressen togs till vara. Nu har det skett i Sundbyberg, och jag tycker att det ser ut som en bra lösning till lägre kostnader, som gör att vi också kan använda en större andel av pengarna till bistånd.
i-MHFnuyJswRBQkohq5RCSZH	Fru talman! Jag har flera kollegor i kammaren som inte kommer från Stockholm. Jag tror att merparten av oss inte uppfattar Sundbyberg, Gärdet och Botkyrka som hela landet.
i-KLSED9jWLvwsDdPQsDimho	Men jag återkommer till den fråga som biståndsministern berörde mot slutet. Hur mycket är det tänkt att man sparar av skattebetalarnas pengar på myndighetsflytten?
i-EtNhTXapXiT1y4CS6pVZVi	Fru talman! Det är en rätt väsentlig sak att också se till att regionen Stockholm fungerar och har en statlig närvaro. Det är inte bara fråga om Stockholms stad. Det gör skillnad om vi placerar myndigheter utanför Stockholms stad i regionen.
i-4vc6uw3HzifdwtpZweuoVe	Det är lite svårt att svara exakt på frågan innan det finns några kontrakt skrivna. Ni får väl vänta något på svaret.
i-5DWrNZg3C9A16yVBx9na2J	Fru talman! Av dem som saknar svenskt medborgarskap och som döms för våldtäkt i Sverige är det bara 20 procent som utvisas. Övriga 80 procent får stanna i Sverige. Många av dessa människor begår nya grova brott. 19 ‑ årige Tommie Lindh mördades tidigare i år när han försökte skydda sin väninna från att bli våldtagen. Mördaren är en 23-årig man från Sudan i Afrika som sedan tidigare är dömd för flera sexualbrott i Sverige.
i-3ZygaurcXYtCpPjCdH2vYd	Fru talman! Varför låter regeringen 80 procent av alla utländska medborgare som dömts för våldtäkt i Sverige stanna här?
i-HLeEs7GZ6ALuiAFLKsNskh	Fru talman! Det är naturligtvis oerhört viktigt att de som begår brott ska dömas, lagföras och till skydd för brottsoffer och andra sättas i fängslat förvar. Men det finns också regler som säger att vi inte kan återförvisa människor till länder där de riskerar till exempel dödsstraff eller tortyr.
i-9C3y6SSdcZHYp8js8tLPrk	Sverige har under långa tider jobbat med att förhandla om förutsättningar för att länder ska ta tillbaka personer som har begått brott, men det är inte alltid möjligt. Under en lång rad år har skärpt lagstiftning införts, inte minst när det gäller sexualbrott. Vi har bland annat drivit igenom en samtyckeslag, som ger ökat skydd och stöd för kvinnor som säger nej. Vi stärker skyddet för brottsoffer, och det blir tuffare straff för den som begår sexuella övergrepp.
i-PPST53BSKN6cZnKPvXZN9a	Fru talman! Regeringen talar mycket om vad man har gjort, men siffrorna talar faktiskt sitt tydliga språk. 80 procent utvisas inte.
i-WeUrQtBiL1xBSan4SHcD95	Vi anser att alla som kommer till vårt land och begår grova brott borde utvisas. Vi ska inte ha andra länders mördare och våldtäktsmän boende i vårt land. Jag är faktiskt helt övertygad om att i stort sett alla är överens om detta, utom möjligen regeringen själv.
i-HASiyTqrfADnTenkkZpYsU	Låt mig vända på frågan. Vi anser att siffran på hur många våldtäktsmän som kan få stanna borde vara 0 procent. Hur stor anser regeringen att den siffran borde vara?
